"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"441","IPG","Interpublic Group of Companies Inc.","46069010","2466321",0.000299543160677184,"Communication Services",4020768,"USD"
"442","PNW","Pinnacle West Capital Corporation","72348410","2048804",0.000297633012984564,"Utilities",1169749,"USD"
"443","TAP","Molson Coors Beverage Company Class B","60871R20","B067BM3",0.00029638291632709,"Consumer Staples",1950822,"USD"
"444","WU","Western Union Company","95980210","B1F76F9",0.00029592288075714,"Information Technology",4289644,"USD"
"445","DISH","DISH Network Corporation Class A","25470M10","2303581",0.000293922726105182,"Communication Services",2575764,"USD"
"446","AAL","American Airlines Group Inc.","02376R10","BCV7KT2",0.000293692708320207,"Industrials",5180318,"USD"
"447","IRM","Iron Mountain Inc.","46284V10","BVFTF03",0.000284491996921202,"Real Estate",2980295,"USD"
"448","PNR","Pentair plc","G7S00T10","BLS09M3",0.000282481841495985,"Industrials",1753449,"USD"
"449","DVA","DaVita Inc.","23918K10","2898087",0.000277061422389179,"Health Care",785609,"USD"
"450","CF","CF Industries Holdings Inc.","12526910","B0G4K50",0.00027512127237678,"Materials",2232212,"USD"
"451","NI","NiSource Inc","65473P10","2645409",0.000274531226754453,"Utilities",3859669,"USD"
"452","NRG","NRG Energy Inc.","62937750","2212922",0.000272391061276858,"Utilities",2548929,"USD"
"453","TPR","Tapestry Inc.","87603010","BF09HX3",0.00026898079759527,"Consumer Discretionary",2881540,"USD"
"454","FANG","Diamondback Energy Inc.","25278X10","B7Y8YR3",0.00026426043261665,"Energy",1679087,"USD"
"455","AIZ","Assurant Inc.","04621X10","2331430",0.000263870402459518,"Financials",631830,"USD"
"456","MHK","Mohawk Industries Inc.","60819010","2598699",0.000261750238528443,"Consumer Discretionary",624593,"USD"
"457","NWL","Newell Brands Inc","65122910","2635701",0.000260120112487098,"Consumer Discretionary",3967406,"USD"
"458","DISCK","Discovery Inc. Class C","25470F30","B3D7KG4",0.000259430059132172,"Communication Services",3230853,"USD"
"459","MOS","Mosaic Company","61945C10","B3NPHP6",0.000254939711938527,"Materials",3635827,"USD"
"460","AOS","A. O. Smith Corporation","83186520","2816023",0.000250729386396156,"Industrials",1412921,"USD"
"461","ROL","Rollins Inc.","77571110","2747305",0.000250139340773829,"Industrials",2199129,"USD"
"462","REG","Regency Centers Corporation","75884910","2726177",0.000247129108022632,"Real Estate",1647100,"USD"
"463","CMA","Comerica Incorporated","20034010","2212870",0.000242658762375507,"Financials",1451206,"USD"
"464","JNPR","Juniper Networks Inc.","48203R10","2431846",0.00024202871366014,"Information Technology",3495752,"USD"
"465","RHI","Robert Half International Inc.","77032310","2110703",0.000241808696648425,"Industrials",1196488,"USD"
"466","IPGP","IPG Photonics Corporation","44980X10","2698782",0.000240798618549186,"Information Technology",369268,"USD"
"467","HII","Huntington Ingalls Industries Inc.","44641310","B40SSC9",0.000234338119023363,"Industrials",426230,"USD"
"468","SEE","Sealed Air Corporation","81211K10","2232793",0.000232968013086772,"Materials",1628325,"USD"
"469","COG","Cabot Oil & Gas Corporation","12709710","2162340",0.000231387890911725,"Energy",4159929,"USD"
"470","NCLH","Norwegian Cruise Line Holdings Ltd.","G6672110","B9CGTC3",0.000230877851475476,"Consumer Discretionary",2669872,"USD"
"471","ZION","Zions Bancorporation N.A.","98970110","2989828",0.000229967781108835,"Financials",1711349,"USD"
"472","NWSA","News Corporation Class A","65249B10","BBGVT40",0.000225427430048891,"Communication Services",3898235,"USD"
"473","PVH","PVH Corp.","69365610","B3V9F12",0.000220817073576129,"Consumer Discretionary",740383,"USD"
"474","NLSN","Nielsen Holdings Plc","G6518L10","BWFY550",0.000218186870208805,"Industrials",3651622,"USD"
