"","symbol","date","open","high","low","close","volume","adjusted"
"24","XLK",2020-02-05,100.75,100.800003,98.980003,99.699997,16348500,98.690903
"25","XLK",2020-02-06,100.110001,100.639999,99.660004,100.610001,6752800,99.59169
"26","XLK",2020-02-07,100.139999,100.529999,99.489998,99.690002,8299000,98.681007
"27","XLK",2020-02-10,99.110001,101.059998,99.089996,101.040001,8173800,100.017342
"28","XLK",2020-02-11,101.809998,101.900002,100.400002,100.699997,7552900,99.680786
"29","XLK",2020-02-12,101.389999,101.830002,100.82,101.790001,6076400,100.75975
"30","XLK",2020-02-13,100.989998,102.050003,100.839996,101.519997,7401400,100.492477
"31","XLK",2020-02-14,101.720001,102.129997,101.400002,101.959999,6196200,100.928032
"32","XLK",2020-02-18,101.139999,101.800003,101.029999,101.580002,10316600,100.551888
"33","XLK",2020-02-19,102.239998,102.940002,102.169998,102.790001,8307800,101.749634
"34","XLK",2020-02-20,102.57,102.82,100.330002,101.720001,13162300,100.69046
"35","XLK",2020-02-21,101.199997,101.290001,98.82,99.440002,14949500,98.433548
"36","XLK",2020-02-24,94.669998,96.709999,93.800003,95.330002,21182600,94.365143
"37","XLK",2020-02-25,96.190002,96.540001,91.940002,92.279999,31467200,91.346008
"38","XLK",2020-02-26,92.629997,94.709999,92,92.699997,27879800,91.761757
"39","XLK",2020-02-27,89.660004,91.559998,87.639999,87.699997,33912900,86.812363
"40","XLK",2020-02-28,84.209999,89.209999,84.059998,88.370003,55929500,87.475586
"41","XLK",2020-03-02,89.959999,93.5,88.379997,93.480003,35004300,92.533859
"42","XLK",2020-03-03,94.010002,94.660004,88.980003,89.93,47494600,89.019798
"43","XLK",2020-03-04,91.870003,93.82,90.599998,93.790001,22363800,92.840714
"44","XLK",2020-03-05,91.290001,93.029999,90.239998,90.830002,24509500,89.910683
"45","XLK",2020-03-06,87.790001,89.440002,86.489998,88.910004,28815900,88.010117
"46","XLK",2020-03-09,81.580002,86,81.5,82.160004,29559900,81.328438
"47","XLK",2020-03-10,85.68,87.650002,82.620003,87.639999,35582300,86.752968
"48","XLK",2020-03-11,85.290001,85.82,82.309998,83.5,31652100,82.654877
"49","XLK",2020-03-12,77.440002,81.900002,75,75.349998,32745300,74.587364
"50","XLK",2020-03-13,80.089996,84.379997,76.300003,84.190002,32924800,83.337891
"51","XLK",2020-03-16,71.720001,79.209999,71.190002,72.559998,40622400,71.825592
"52","XLK",2020-03-17,74.269997,78.440002,71.940002,77.5,50407300,76.715599
"53","XLK",2020-03-18,72.349998,75.82,70.269997,74.580002,53706200,73.825157
"54","XLK",2020-03-19,73.889999,77.389999,72.120003,74.849998,61727100,74.092415
"55","XLK",2020-03-20,76.260002,77.040001,71.18,71.419998,45222000,70.697128
"56","XLK",2020-03-23,70.690002,72.220001,68.099998,70.400002,42479200,70.051353
"57","XLK",2020-03-24,74.660004,77.669998,74.360001,77.610001,37664500,77.225647
"58","XLK",2020-03-25,78.199997,81.089996,76.019997,77.510002,28740400,77.126144
"59","XLK",2020-03-26,78.489998,82.510002,78.300003,82.309998,28212900,81.902359
"60","XLK",2020-03-27,79.760002,81.260002,78.25,78.589996,29242700,78.20079
"61","XLK",2020-03-30,79.639999,82.089996,79.389999,81.900002,23740100,81.494392
"62","XLK",2020-03-31,81.709999,83.18,79.949997,80.370003,19994400,79.97197
"63","XLK",2020-04-01,77.589996,79.25,75.970001,76.540001,27492400,76.160942
"64","XLK",2020-04-02,76.269997,78.43,75.959999,78.330002,22111800,77.942078
"65","XLK",2020-04-03,77.989998,78.830002,76.150002,77.120003,15786000,76.738068
"66","XLK",2020-04-06,80.510002,84.25,80,83.699997,17993600,83.285477
"67","XLK",2020-04-07,86.650002,86.68,82.860001,82.949997,22149400,82.539192
"68","XLK",2020-04-08,84.040001,85.529999,83.25,85.18,13714300,84.758156
"69","XLK",2020-04-09,86.190002,86.629997,84.599998,85.199997,19630700,84.778046
"70","XLK",2020-04-13,84.860001,85.510002,83.650002,85.389999,12650800,84.96711
"71","XLK",2020-04-14,87.290001,89.129997,86.940002,88.970001,15889500,88.529381
"72","XLK",2020-04-15,87.199997,87.739998,86.379997,87.029999,12929100,86.598984
"73","XLK",2020-04-16,88.169998,88.309998,86.650002,88.089996,11833800,87.653732
"74","XLK",2020-04-17,89.650002,89.669998,87.970001,89.260002,14142400,88.817947
"75","XLK",2020-04-20,88.050003,89.220001,87.709999,87.830002,10203500,87.395027
"76","XLK",2020-04-21,86.589996,86.800003,83.639999,84.150002,16382500,83.733253
"77","XLK",2020-04-22,86.190002,87.870003,85.879997,87.389999,12019100,86.957199
"78","XLK",2020-04-23,87.589996,88.580002,86.720001,86.790001,10584800,86.360184
"79","XLK",2020-04-24,87.150002,88.650002,86.589996,88.629997,8442500,88.191063
"80","XLK",2020-04-27,89.43,89.690002,88.849998,89.389999,7799300,88.947304
"81","XLK",2020-04-28,90.5,90.559998,88.080002,88.199997,12633800,87.763191
"82","XLK",2020-04-29,90.080002,92.139999,89.760002,91.82,11462900,91.365273
"83","XLK",2020-04-30,92.010002,92.010002,90.730003,91.410004,15430600,90.957298
"84","XLK",2020-05-01,89.400002,90.650002,88.559998,88.900002,11995100,88.459724
"85","XLK",2020-05-04,88.489998,90.169998,88.080002,90.080002,10729000,89.633881
"86","XLK",2020-05-05,91.110001,92.480003,90.949997,91.32,8687300,90.867744
"87","XLK",2020-05-06,92.199997,92.919998,91.620003,92.029999,8470500,91.574226
"88","XLK",2020-05-07,93.279999,93.940002,93.139999,93.410004,10544400,92.947395
"89","XLK",2020-05-08,94.300003,94.910004,93.75,94.779999,7612300,94.310608
"90","XLK",2020-05-11,94.129997,95.970001,93.940002,95.410004,10384400,94.937492
"91","XLK",2020-05-12,95.800003,96.07,93.370003,93.440002,13521000,92.977249
"92","XLK",2020-05-13,93.489998,94.209999,90.620003,91.830002,16971100,91.375221
"93","XLK",2020-05-14,91.190002,93.059998,90.190002,93,15237600,92.539421
"94","XLK",2020-05-15,91.529999,93.489998,91.269997,93.470001,14016400,93.007095
"95","XLK",2020-05-18,95.309998,96.300003,94.980003,95.760002,10017700,95.285759
"96","XLK",2020-05-19,95.800003,96.889999,95.370003,95.410004,10046400,94.937492
"97","XLK",2020-05-20,96.730003,97.68,96.68,97.5,9096000,97.017136
"98","XLK",2020-05-21,97.400002,97.690002,96.089996,96.139999,10290800,95.663872
"99","XLK",2020-05-22,96,96.610001,95.610001,96.489998,9244800,96.012138
"100","XLK",2020-05-26,98.419998,98.489998,96.309998,96.389999,13000700,95.912636
"101","XLK",2020-05-27,96.379997,96.980003,94.330002,96.940002,19428400,96.459915
"102","XLK",2020-05-28,96.580002,98.519997,96.510002,96.75,10573700,96.270859
"103","XLK",2020-05-29,97.040001,98.199997,96.230003,97.970001,17778900,97.48481
"104","XLK",2020-06-01,97.510002,98.150002,97.080002,97.940002,13359700,97.454964
"105","XLK",2020-06-02,98.139999,98.860001,97.209999,98.860001,11207600,98.370399
"106","XLK",2020-06-03,99.260002,99.949997,98.830002,99.629997,11017900,99.136589
"107","XLK",2020-06-04,99.239998,99.93,98.260002,98.809998,7569400,98.320641
"108","XLK",2020-06-05,99.510002,101.699997,99.339996,101.410004,10378200,100.907776
"109","XLK",2020-06-08,101.230003,101.959999,100.300003,101.919998,8065100,101.415245
"110","XLK",2020-06-09,101.410004,102.900002,101.32,102.400002,7353900,101.892868
"111","XLK",2020-06-10,103.139999,104.889999,102.949997,104.110001,12194800,103.594398
"112","XLK",2020-06-11,102.300003,102.449997,98.110001,98.139999,19871000,97.653969
"113","XLK",2020-06-12,100.769997,101.269997,97.68,99.410004,21642100,98.917679
"114","XLK",2020-06-15,97.599998,100.82,97.279999,100.370003,14962000,99.872925
"115","XLK",2020-06-16,102.769997,103.389999,100.919998,102.510002,13967900,102.002335
"116","XLK",2020-06-17,103.089996,103.459999,102.32,102.489998,8655900,101.982422
